0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic06.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic08.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic05.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic09.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic07.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic10.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/pic11.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:32:58 +0900] "GET /projectC/images/banner03.jpg HTTP/1.1" 404 843
