0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:51 +0900] "GET /projectC/index.jsp HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /projectC/clothes/clothe_top.jsp HTTP/1.1" 200 19091
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/30.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/29.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/35.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:52 +0900] "GET /imageupload/37.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:53 +0900] "GET /projectC/clothes/clothes_detail.jsp?clothesNum=40002 HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:54 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:56 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:57 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:59 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:00 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:02 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:03 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:04 +0900] "GET /projectC/clothes/clothe_top.jsp HTTP/1.1" 200 19091
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:06 +0900] "GET /projectC/clothes/clothe_outer.jsp HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:07 +0900] "GET /projectC/clothes/clothes_detail.jsp?clothesNum=20001 HTTP/1.1" 200 3759
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:09 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:10 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:10 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:12 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:12 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:13 +0900] "POST /projectC/cart/cart.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:14 +0900] "GET /projectC/index.jsp HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:15 +0900] "GET /projectC/mypage/mypage.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:17 +0900] "GET /projectC/buyhistory/buy_select.jsp HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:19 +0900] "GET /projectC/cart/cart_select.jsp HTTP/1.1" 200 14826
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:35 +0900] "GET /projectC/buyhistory/buy_insert.jsp?id=shin HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:44:36 +0900] "GET /projectC/buyhistory/buy_select.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:46:27 +0900] "GET /projectC/buyhistory/buy_select.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:46:27 +0900] "GET /projectC/buyhistory/buy_select.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:46:27 +0900] "GET /projectC/buyhistory/buy_select.jsp HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:46:57 +0900] "GET /projectC/index.jsp HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/Notice.jsp HTTP/1.1" 200 11585
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/jquery.min.js HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/assets/css/img.css?=3 HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/jquery.dropotron.min.js HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/breakpoints.min.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/browser.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/css2/list.css HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/main.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:03 +0900] "GET /projectC/Notice/assets/js/util.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/NoticeRead.jsp?noticeNum=10&page=1 HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/assets/css/img.css?=3 HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/jquery.dropotron.min.js HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/css2/read.css?v=3 HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/jquery.min.js HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/breakpoints.min.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/browser.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/util.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:47:07 +0900] "GET /projectC/Notice/assets/js/main.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/NoticeRead.jsp?noticeNum=10&page=1 HTTP/1.1" 200 5312
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/jquery.min.js HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/jquery.dropotron.min.js HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/util.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/browser.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/main.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:03 +0900] "GET /projectC/Notice/assets/js/breakpoints.min.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/NoticeRead.jsp?noticeNum=10&page=1 HTTP/1.1" 200 5312
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/jquery.min.js HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/jquery.dropotron.min.js HTTP/1.1" 404 872
